	logFC	logCPM	PValue	FDR	sig	color
OTU205	0.636890265	9.338027779	1	1	none	none
OTU417	0.636890265	9.338027779	1	1	none	none
OTU495	0.636890265	9.338027779	1	1	none	none
OTU328	0.636265028	9.339947719	1	1	none	none
OTU512	0.635098917	9.340641604	1	1	none	none
OTU832	0.635098917	9.340641604	1	1	none	none
OTU477	0.634900687	9.33731871	1	1	none	none
OTU971	0.634743891	9.340855874	1	1	none	none
OTU268	0.634517723	9.339393958	1	1	none	none
OTU675	0.63451333	9.337199226	1	1	none	none
OTU716	0.63451333	9.337199226	1	1	none	none
OTU754	0.63451333	9.337199226	1	1	none	none
OTU1056	0.63451333	9.337199226	1	1	none	none
OTU423	0.634411548	9.337256504	1	1	none	none
OTU433	0.634411548	9.337256504	1	1	none	none
OTU1676	0.633351613	9.340087621	1	1	none	none
OTU502	0.632039006	9.338622114	1	1	none	none
OTU355	0.630905226	9.339649219	1	1	none	none
OTU318	0.630872896	9.339315477	1	1	none	none
OTU664	0.630872896	9.339315477	1	1	none	none
OTU740	0.63051787	9.339529583	1	1	none	none
OTU460	0.622202016	10.14308483	0.520577517	1	none	none
OTU105	0.560638339	9.59083315	0.691342343	1	none	none
OTU83	0.543094494	10.93105674	0.246538614	1	none	none
OTU85	0.453796628	10.40231774	0.716119985	1	none	none
OTU65	0.452994195	10.09484696	0.809867666	1	none	none
OTU222	0.424374583	9.725678527	1	1	none	none
OTU26	0.39761823	10.90789986	0.520665923	1	none	none
OTU307	0.391714178	9.500665833	1	1	none	none
OTU201	0.390213722	9.497875728	1	1	none	none
OTU234	0.38786466	9.499132679	1	1	none	none
OTU364	0.387534592	9.491611335	1	1	none	none
OTU370	0.386750348	9.499995401	1	1	none	none
OTU37	0.38331806	11.71012816	0.349209401	1	none	none
OTU126	0.371736467	10.36742903	0.716119985	1	none	none
OTU130	0.367422474	9.857355549	0.796393721	1	none	none
OTU218	0.359771138	9.850950249	0.779861587	1	none	none
OTU18	0.327432135	11.76798922	0.334710506	1	none	none
OTU363	0.30093145	9.638701416	1	1	none	none
OTU121	0.285827484	9.639133452	1	1	none	none
OTU122	0.27845923	10.30444089	1	1	none	none
OTU101	0.189277892	9.99794899	1	1	none	none
OTU145	0.180704993	10.10043107	1	1	none	none
OTU62	0.158298891	10.19658013	1	1	none	none
OTU95	0.078606852	9.80674279	1	1	none	none
OTU296	0.071081706	9.540588538	1	1	none	none
OTU137	0.06779401	9.54408874	1	1	none	none
OTU2056	0.065807681	9.392140369	1	1	none	none
OTU59	0.063891748	11.16912423	1	1	none	none
OTU503	0.063145122	9.393572873	1	1	none	none
OTU168	0.061209389	9.544158616	1	1	none	none
OTU546	0.060522272	9.390418192	1	1	none	none
OTU146	0.059785337	9.548806875	1	1	none	none
OTU384	0.056328634	9.391278639	1	1	none	none
OTU217	0.05629625	9.389097648	1	1	none	none
OTU1653	0.052694213	9.391198184	1	1	none	none
OTU1209	0.05260348	9.395050738	1	1	none	none
OTU906	0.052241266	9.391467831	1	1	none	none
OTU324	0.050530247	9.39633072	1	1	none	none
OTU175	0.049889324	9.392824235	1	1	none	none
OTU391	0.049136572	9.395563694	1	1	none	none
OTU759	0.049136572	9.395563694	1	1	none	none
OTU463	0.048205542	9.394221974	1	1	none	none
OTU492	0.047818185	9.394102612	1	1	none	none
OTU12	0	9.222697493	1	1	none	none
OTU53	0	9.222697493	1	1	none	none
OTU74	0	9.222697493	1	1	none	none
OTU97	0	9.222697493	1	1	none	none
OTU102	0	9.222697493	1	1	none	none
OTU103	0	9.222697493	1	1	none	none
OTU108	0	9.222697493	1	1	none	none
OTU112	0	9.222697493	1	1	none	none
OTU115	0	9.222697493	1	1	none	none
OTU124	0	9.222697493	1	1	none	none
OTU128	0	9.222697493	1	1	none	none
OTU133	0	9.222697493	1	1	none	none
OTU142	0	9.222697493	1	1	none	none
OTU143	0	9.222697493	1	1	none	none
OTU148	0	9.222697493	1	1	none	none
OTU151	0	9.222697493	1	1	none	none
OTU152	0	9.222697493	1	1	none	none
OTU186	0	9.222697493	1	1	none	none
OTU188	0	9.222697493	1	1	none	none
OTU189	0	9.222697493	1	1	none	none
OTU192	0	9.222697493	1	1	none	none
OTU196	0	9.222697493	1	1	none	none
OTU200	0	9.222697493	1	1	none	none
OTU203	0	9.222697493	1	1	none	none
OTU225	0	9.222697493	1	1	none	none
OTU227	0	9.222697493	1	1	none	none
OTU237	0	9.222697493	1	1	none	none
OTU247	0	9.222697493	1	1	none	none
OTU249	0	9.222697493	1	1	none	none
OTU251	0	9.222697493	1	1	none	none
OTU256	0	9.222697493	1	1	none	none
OTU257	0	9.222697493	1	1	none	none
OTU258	0	9.222697493	1	1	none	none
OTU261	0	9.222697493	1	1	none	none
OTU264	0	9.222697493	1	1	none	none
OTU265	0	9.222697493	1	1	none	none
OTU272	0	9.222697493	1	1	none	none
OTU276	0	9.222697493	1	1	none	none
OTU277	0	9.222697493	1	1	none	none
OTU281	0	9.222697493	1	1	none	none
OTU284	0	9.222697493	1	1	none	none
OTU285	0	9.222697493	1	1	none	none
OTU286	0	9.222697493	1	1	none	none
OTU292	0	9.222697493	1	1	none	none
OTU294	0	9.222697493	1	1	none	none
OTU315	0	9.222697493	1	1	none	none
OTU319	0	9.222697493	1	1	none	none
