name	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU2110	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__C0119	f__norank	g__norank	s__norank
OTU2111	k__Bacteria	p__unidentified_Bacteria	c__Oligoflexia	o__Oligoflexales	f__norank	g__norank	s__norank
OTU2112	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__unidentified_Rhizobiales	g__Phreatobacter	s__norank
OTU2113	k__Bacteria	p__unidentified_Bacteria	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__norank	s__norank
OTU2114	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank
OTU2115	k__Bacteria	p__unidentified_Bacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__norank	s__norank
OTU2116	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2117	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2118	k__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__norank	s__norank
OTU2119	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2120	k__Bacteria	p__unidentified_Bacteria	c__Vicinamibacteria	o__Vicinamibacterales	f__norank	g__norank	s__norank
OTU2121	k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__norank	g__norank	s__norank
OTU2122	k__Bacteria	p__unidentified_Bacteria	c__Babeliae	o__Babeliales	f__Vermiphilaceae	g__norank	s__norank
OTU2123	k__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__Peredibacter	s__norank
OTU2124	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_vulgatus
OTU2125	k__Bacteria	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__norank	s__norank
OTU2126	k__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__norank	g__norank	s__norank
OTU2127	k__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__WX65	g__norank	s__norank
OTU2128	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank
OTU2129	k__Bacteria	p__unidentified_Bacteria	c__Babeliae	o__Babeliales	f__norank	g__norank	s__norank
OTU2130	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank
OTU2131	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__norank	g__norank	s__norank
OTU2132	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Tistrellales	f__Geminicoccaceae	g__Candidatus_Alysiosphaera	s__norank
OTU2133	k__Bacteria	p__Actinobacteriota	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2134	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
