	ct1	ct2	ct3	ct4	ct5	ct6	yl1	yl2	yl3	yl4	yl5	yl6	ml1	ml2	ml3	ml4	ml5	ml6	xl1	xl2	xl3	xl4	xl5	xl6	hl1	hl2	hl3	hl4	hl5	hl6
OTU131	0	1	2	0	0	0	1	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU132	0	0	2	1	0	2	0	1	0	0	0	2	0	0	3	2	0	0	1	1	1	0	0	0	0	0	1	0	0	0
OTU133	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	6	0	4	0	0	0	2	0	3	2	0	0
OTU134	0	4	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU135	1	2	0	1	0	2	0	0	1	3	0	1	0	0	1	1	0	0	0	1	1	1	0	0	2	0	3	1	0	0
OTU136	1	8	0	1	1	2	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0
OTU137	0	1	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	2	0	1	0	0
OTU138	1	4	4	0	1	1	0	1	1	2	0	1	0	1	1	2	0	1	2	2	5	0	0	0	0	1	1	11	1	0
OTU139	2	0	1	0	1	2	2	0	0	0	1	1	1	0	0	1	0	0	1	0	1	2	0	0	1	1	3	5	2	1
OTU140	0	7	0	2	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU141	0	3	4	1	0	7	2	1	1	0	0	2	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU142	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
OTU143	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0
OTU144	2	0	3	1	4	2	3	1	0	0	0	1	1	0	1	1	0	1	2	5	4	3	0	0	0	2	0	2	0	0
OTU145	1	4	3	2	3	0	0	1	0	0	0	1	1	1	1	2	1	1	0	5	1	0	0	0	0	0	0	4	0	0
OTU146	1	0	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU147	1	5	6	2	8	4	4	2	0	1	0	0	2	0	1	1	0	0	0	2	0	0	0	0	0	0	0	2	0	1
OTU148	0	0	0	0	0	0	0	1	0	1	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU149	0	9	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU150	0	5	0	0	2	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU151	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU152	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
OTU153	3	1	1	3	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0
OTU154	2	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0
OTU155	0	4	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU156	1	1	0	1	0	0	1	0	1	0	0	1	3	1	1	1	2	0	6	1	2	0	0	0	2	2	0	0	0	0
OTU157	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	1	1	1	4	1	0
OTU158	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0
OTU159	0	4	0	5	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU160	0	0	1	6	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU161	0	2	0	4	0	1	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU162	1	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU163	1	2	1	3	4	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0
OTU164	1	2	8	5	1	6	0	0	1	0	0	1	0	1	1	0	1	0	0	3	0	0	0	1	0	0	0	2	0	0
OTU165	0	3	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU166	1	2	1	4	2	7	1	0	0	1	0	2	0	0	2	1	0	1	0	2	0	3	0	0	0	0	0	3	0	0
OTU167	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU168	0	1	1	1	0	1	1	0	2	2	7	6	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0
OTU169	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	1	3	0	0
OTU170	0	4	0	2	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU171	1	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU172	0	1	2	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
OTU173	0	1	0	1	1	2	1	2	2	0	0	0	1	2	0	4	2	8	0	0	0	0	0	0	0	0	0	0	1	2
