	logFC	logCPM	PValue	FDR	sig	color
OTU421	1.340724468	9.561649539	0.628092823	1	none	none
OTU114	1.336258145	9.561759142	0.628092823	1	none	none
OTU327	1.335875283	9.399711776	1	1	none	none
OTU340	1.335875283	9.399711776	1	1	none	none
OTU508	1.335875283	9.399711776	1	1	none	none
OTU617	1.335875283	9.399711776	1	1	none	none
OTU850	1.335875283	9.399711776	1	1	none	none
OTU1239	1.335875283	9.399711776	1	1	none	none
OTU1297	1.335875283	9.399711776	1	1	none	none
OTU174	1.335284503	9.399459863	1	1	none	none
OTU448	1.335284503	9.399459863	1	1	none	none
OTU563	1.335284503	9.399459863	1	1	none	none
OTU893	1.335284503	9.399459863	1	1	none	none
OTU1022	1.335284503	9.399459863	1	1	none	none
OTU1238	1.335284503	9.399459863	1	1	none	none
OTU1382	1.335284503	9.399459863	1	1	none	none
OTU1759	1.335284503	9.399459863	1	1	none	none
OTU286	1.335164581	9.399408938	1	1	none	none
OTU334	1.335164581	9.399408938	1	1	none	none
OTU339	1.335164581	9.399408938	1	1	none	none
OTU398	1.335164581	9.399408938	1	1	none	none
OTU418	1.335164581	9.399408938	1	1	none	none
OTU431	1.335164581	9.399408938	1	1	none	none
OTU459	1.335164581	9.399408938	1	1	none	none
OTU465	1.335164581	9.399408938	1	1	none	none
OTU525	1.335164581	9.399408938	1	1	none	none
OTU548	1.335164581	9.399408938	1	1	none	none
OTU573	1.335164581	9.399408938	1	1	none	none
OTU582	1.335164581	9.399408938	1	1	none	none
OTU592	1.335164581	9.399408938	1	1	none	none
OTU600	1.335164581	9.399408938	1	1	none	none
OTU654	1.335164581	9.399408938	1	1	none	none
OTU671	1.335164581	9.399408938	1	1	none	none
OTU784	1.335164581	9.399408938	1	1	none	none
OTU813	1.335164581	9.399408938	1	1	none	none
OTU836	1.335164581	9.399408938	1	1	none	none
OTU849	1.335164581	9.399408938	1	1	none	none
OTU954	1.335164581	9.399408938	1	1	none	none
OTU960	1.335164581	9.399408938	1	1	none	none
OTU1104	1.335164581	9.399408938	1	1	none	none
OTU1195	1.335164581	9.399408938	1	1	none	none
OTU1298	1.335164581	9.399408938	1	1	none	none
OTU1434	1.335164581	9.399408938	1	1	none	none
OTU1604	1.335164581	9.399408938	1	1	none	none
OTU1800	1.335164581	9.399408938	1	1	none	none
OTU1911	1.335164581	9.399408938	1	1	none	none
OTU2016	1.335164581	9.399408938	1	1	none	none
OTU2029	1.335164581	9.399408938	1	1	none	none
OTU2304	1.335164581	9.399408938	1	1	none	none
OTU261	1.332706232	9.398380306	1	1	none	none
OTU326	1.332706232	9.398380306	1	1	none	none
OTU348	1.332706232	9.398380306	1	1	none	none
OTU357	1.332706232	9.398380306	1	1	none	none
OTU392	1.332706232	9.398380306	1	1	none	none
OTU408	1.332706232	9.398380306	1	1	none	none
OTU415	1.332706232	9.398380306	1	1	none	none
OTU461	1.332706232	9.398380306	1	1	none	none
OTU475	1.332706232	9.398380306	1	1	none	none
OTU557	1.332706232	9.398380306	1	1	none	none
OTU561	1.332706232	9.398380306	1	1	none	none
OTU567	1.332706232	9.398380306	1	1	none	none
